name1	name2	siteStart1	siteEnd1	siteStart2	siteEnd2	siteLen	siteCmpl	siteScore	regStart1	regLen1	regStart2	regLen2	regGC	deltaG	Pvalue	Padj
18	ENSMUST00000184554.7	chr10_67884506_67884684_+@SIRT1_ENSMUST00000020257.12:Sirt1	67	142	671	744	76	0.68421	97	67	76	671	74	0.87333	-33.1816	1.31e-10	8.4e-08
19	ENSMUST00000184554.7	chr17_18039258_18039516_+@GID4_ENSMUST00000070681.6:Gid4	66	153	265	351	89	0.61798	65	66	88	265	87	0.86286	-33.1792	0.000146	0.000787
20	ENSMUST00000184554.7	chr19_40690500_40690799_-@NUMBL_ENSMUST00000149805.7:Numbl	70	143	6	76	74	0.68919	41	70	74	6	71	0.83448	-32.5008	0.00702	0.014
21	ENSMUST00000184554.7	chr1_23019318_23019617_+@KDM1A_ENSMUST00000105847.7:Kdm1a	68	129	807	868	63	0.68254	66	68	62	807	62	0.87097	-31.311	3.93e-08	2.66e-06
22	ENSMUST00000184554.7	chr3_52455355_52455567_+@NISCH_ENSMUST00000171735.1:Nisch	72	136	919	983	67	0.68657	68	72	65	919	65	0.79231	-30.4716	8.14e-06	0.000108
23	ENSMUST00000184554.7	chr14_50668315_50668480_-@SAV1_ENSMUST00000021467.7:Sav1	102	143	800	841	42	0.69048	64	60	126	758	126	0.81746	-30.02	3.78e-08	2.66e-06
24	ENSMUST00000184554.7	chr19_42254978_42255277_-@ERF_ENSMUST00000116343.2:Erf	77	128	920	972	53	0.66038	51	77	52	920	53	0.85714	-29.574	7.17e-05	0.000465
25	ENSMUST00000184554.7	chr10_134894_135136_+@ZMYND11_ENSMUST00000223421.1:Zmynd11	88	142	505	560	56	0.69643	73	88	55	505	56	0.88288	-29.512	4.59e-09	7.38e-07
26	ENSMUST00000184554.7	chr17_48908257_48908445_+@UBE2Z_ENSMUST00000100528.4:Ube2z	71	131	680	742	63	0.69841	76	71	61	680	63	0.87097	-29.3958	4.01e-06	6.22e-05
27	ENSMUST00000184554.7	chr12_68610749_68611048_+@RAP1B_ENSMUST00000064667.8:Rap1b	68	129	860	923	64	0.65625	71	68	62	860	64	0.85714	-29.3632	2.62e-06	4.91e-05
28	ENSMUST00000184554.7	chr6_34392622_34392810_-@NUDT3_ENSMUST00000025050.12:Nudt3	79	130	859	911	53	0.71698	58	79	52	859	53	0.86667	-29.2136	2.59e-07	9.78e-06
29	ENSMUST00000184554.7	chr19_15332508_15332688_-@BRD4_ENSMUST00000127893.7:Brd4	77	148	807	877	72	0.69444	80	77	72	807	71	0.86713	-29.0592	2.2e-06	4.49e-05
30	ENSMUST00000184554.7	chr19_15332326_15332507_-@BRD4_ENSMUST00000125899.1:Brd4	77	148	852	922	72	0.69444	80	77	72	852	71	0.86713	-29.0592	3.85e-05	0.00031
31	ENSMUST00000184554.7	chr11_64234561_64234733_+@VEGFB_ENSMUST00000130048.7:Vegfb	67	117	912	964	54	0.7037	42	67	51	912	53	0.82692	-29.052	0.000302	0.00131
32	ENSMUST00000184554.7	chr17_44219077_44219275_-@UBTF_ENSMUST00000107119.8:Ubtf	78	143	895	963	70	0.72857	65	78	66	895	69	0.85185	-29.05	7.98e-05	0.000493
33	ENSMUST00000184554.7	chr12_67648610_67648909_+@DYRK2_ENSMUST00000004281.9:Dyrk2	98	143	668	711	46	0.71739	68	52	138	622	136	0.79562	-28.74	1.38e-06	3.28e-05
34	ENSMUST00000184554.7	chr21_39313482_39313781_-@BRWD1_ENSMUST00000099502.8:Brwd1	96	150	647	699	55	0.69091	57	96	55	647	53	0.85185	-28.732	2.09e-05	0.000199
35	ENSMUST00000184554.7	chr7_6104799_6105098_+@USP42_ENSMUST00000053287.5:Usp42	69	145	635	712	78	0.60256	77	69	77	635	78	0.85161	-28.6884	0.000644	0.00227
36	ENSMUST00000184554.7	chr14_22871590_22871778_+@LRP10_ENSMUST00000022782.9:Lrp10	77	143	484	551	69	0.63768	47	77	67	484	68	0.82963	-28.4694	1.75e-05	0.000171
37	ENSMUST00000184554.7	chr19_663034_663245_-@RNF126_ENSMUST00000219189.1:Rnf126	81	134	936	989	54	0.66667	71	81	54	936	54	0.86111	-28.3716	2.19e-06	4.49e-05
38	ENSMUST00000184554.7	chr3_123066875_123067050_+@PDIA5_ENSMUST00000023550.8:Pdia5	2	48	881	929	49	0.69388	39	1	97	832	147	0.77459	-28.31	0.000294	0.00128
39	ENSMUST00000184554.7	chr12_67648610_67648909_+@DYRK2_ENSMUST00000004281.9:Dyrk2	77	144	774	841	68	0.60294	49	77	68	774	68	0.84559	-27.5808	1.38e-06	3.28e-05
40	ENSMUST00000184554.7	chr6_148342688_148342917_+@SASH1_ENSMUST00000213032.1:Sash1	78	135	885	945	61	0.63934	59	78	58	885	61	0.83193	-27.2304	2.57e-06	4.91e-05
41	ENSMUST00000184554.7	chr4_26860627_26860774_+@STIM2_ENSMUST00000117661.8:Stim2	79	143	328	392	66	0.62121	47	79	65	328	65	0.83846	-26.9676	6.34e-05	0.000434
42	ENSMUST00000184554.7	chr15_78077608_78077836_-@TBC1D2B_ENSMUST00000041767.13:Tbc1d2b	77	143	935	999	67	0.67164	64	77	67	935	65	0.88636	-26.6928	0.000254	0.00116
43	ENSMUST00000184554.7	chr4_102827372_102827536_-@UBE2D3_ENSMUST00000196248.1:Ube2d3	58	145	607	700	94	0.61702	47	58	88	607	94	0.8022	-26.6772	0.00332	0.00784
44	ENSMUST00000184554.7	chr5_17217454_17217617_+@BASP1_ENSMUST00000058845.8:Basp1	68	122	935	990	56	0.64286	64	68	55	935	56	0.81982	-26.376	4.04e-05	0.000319
45	ENSMUST00000184554.7	chr12_121803879_121804178_+@SETD1B_ENSMUST00000100731.8:Setd1b	42	114	68	142	75	0.68	52	42	73	68	75	0.81757	-26.325	4.01e-05	0.000318
46	ENSMUST00000184554.7	chr4_78776200_78776499_+@BMP2K_ENSMUST00000112974.5:Bmp2k	42	93	272	322	53	0.67925	65	42	52	272	51	0.87379	-25.9488	0.000149	0.000797
47	ENSMUST00000184554.7	chr10_67884506_67884684_+@SIRT1_ENSMUST00000020257.12:Sirt1	161	196	552	589	38	0.78947	57	123	112	514	114	0.71239	-25.86	1.31e-10	8.4e-08
48	ENSMUST00000184554.7	chr12_12266869_12267168_-@LRP6_ENSMUST00000032322.14:Lrp6	90	139	533	583	52	0.65385	56	90	50	533	51	0.85149	-25.8336	2.12e-07	9.08e-06
49	ENSMUST00000184554.7	chr4_173370804_173371103_+@SAP30_ENSMUST00000034022.3:Sap30	91	142	732	783	52	0.65385	66	91	52	732	52	0.84615	-25.7088	0.000797	0.0027
50	ENSMUST00000184554.7	chr6_149317789_149318013_+@TAB2_ENSMUST00000147938.1:Tab2	104	146	940	982	43	0.67442	61	61	129	897	104	0.7897	-25.67	0.0016	0.00443
51	ENSMUST00000184554.7	chr19_19405637_19405936_+@GATAD2A_ENSMUST00000116463.3:Gatad2a	76	128	894	945	54	0.68519	60	76	53	894	52	0.84762	-25.4988	2.75e-06	4.98e-05
52	ENSMUST00000184554.7	chr6_163414629_163414718_+@QKI_ENSMUST00000233828.1:Qk	79	156	658	734	78	0.60256	58	79	78	658	77	0.87097	-25.428	1.12e-09	4.79e-07
53	ENSMUST00000184554.7	chr11_65919389_65919462_+@DRAP1_ENSMUST00000148219.8:Drap1	68	110	962	1000	43	0.74419	55	25	129	919	82	0.78199	-25.36	0.00268	0.00656
54	ENSMUST00000184554.7	chr10_79445521_79445727_-@ZCCHC24_ENSMUST00000069180.7:Zcchc24	117	151	955	989	35	0.71429	52	82	105	920	81	0.82258	-25.17	0.000226	0.00108
55	ENSMUST00000184554.7	chr19_10960754_10960967_+@SMARCA4_ENSMUST00000034707.14:Smarca4	95	142	413	465	53	0.66038	65	95	48	413	53	0.84158	-24.9524	0.00487	0.0106
56	ENSMUST00000184554.7	chr13_106567987_106568286_-@ARGLU1_ENSMUST00000207817.1:Arglu1	94	157	595	658	66	0.72727	44	94	64	595	64	0.875	-24.9084	0.000162	0.00085
57	ENSMUST00000184554.7	chr19_33796159_33796380_+@KCTD15_ENSMUST00000108069.7:Kctd15	42	93	872	922	52	0.71154	75	42	52	872	51	0.85437	-24.856	0.000297	0.00129
58	ENSMUST00000184554.7	chr19_33796725_33797024_+@KCTD15_ENSMUST00000206501.1:Kctd15	42	93	881	931	52	0.71154	75	42	52	881	51	0.85437	-24.856	0.000283	0.00127
59	ENSMUST00000184554.7	chr5_98928789_98928969_-@CHD1_ENSMUST00000173159.1:Chd1	87	140	533	583	54	0.68519	60	87	54	533	51	0.86667	-24.7968	0.000406	0.00161
60	ENSMUST00000184554.7	chr15_67521450_67521722_-@IQCH-AS1_ENSMUST00000186165.1:2300009A05Rik	31	90	340	399	60	0.7	71	31	60	340	60	0.8	-24.756	0.00866	0.0163
61	ENSMUST00000184554.7	chr15_67521046_67521345_+@C15orf61_ENSMUST00000168665.2:2300009A05Rik	31	90	926	985	60	0.7	71	31	60	926	60	0.8	-24.756	0.00252	0.00624
62	ENSMUST00000184554.7	chr5_140107670_140107937_+@PURA_ENSMUST00000051301.5:Pura	160	197	196	233	38	0.68421	42	122	114	158	114	0.74561	-24.69	9e-05	0.000538
63	ENSMUST00000184554.7	chr1_111619639_111619808_+@RAP1A_ENSMUST00000090678.10:Rap1a	68	151	708	794	88	0.64773	72	68	84	708	87	0.85965	-24.6752	1.93e-06	4.2e-05
64	ENSMUST00000184554.7	chr1_185317308_185317490_-@IVNS1ABP_ENSMUST00000023918.12:Ivns1abp	105	139	174	209	36	0.77778	65	69	107	138	108	0.76279	-24.64	0.000116	0.000675
65	ENSMUST00000184554.7	chr2_9630819_9631081_-@YWHAQ_ENSMUST00000103002.7:Ywhaq	100	145	863	908	46	0.67391	55	54	138	817	138	0.80797	-24.6	5.69e-05	0.000396
66	ENSMUST00000184554.7	chr1_20787157_20787456_-@HP1BP3_ENSMUST00000105825.7:Hp1bp3	77	145	693	761	70	0.62857	55	77	69	693	69	0.84058	-24.444	4.39e-09	7.38e-07
67	ENSMUST00000184554.7	chr7_99143958_99144257_-@SMURF1_ENSMUST00000110677.7:Smurf1	68	125	910	964	58	0.68966	61	68	58	910	55	0.84956	-24.2904	2.75e-06	4.98e-05
68	ENSMUST00000184554.7	chr3_37861730_37861921_+@CTDSPL_ENSMUST00000073109.11:Ctdspl	66	141	131	205	77	0.63636	56	66	76	131	75	0.83444	-24.255	3.9e-07	1.29e-05
69	ENSMUST00000184554.7	chr2_99489850_99490099_-@REV1_ENSMUST00000027251.11:Rev1	55	105	522	571	51	0.64706	55	55	51	522	50	0.82178	-24.123	0.00124	0.00371
70	ENSMUST00000184554.7	chr10_91798277_91798576_+@TNKS2_ENSMUST00000168656.7:Tnks2	66	140	51	125	76	0.57895	68	66	75	51	75	0.83333	-24.0616	1.48e-07	6.54e-06
71	ENSMUST00000184554.7	chr19_663034_663245_-@RNF126_ENSMUST00000219189.1:Rnf126	161	197	950	987	38	0.78947	71	123	113	912	89	0.74752	-23.68	2.19e-06	4.49e-05
72	ENSMUST00000184554.7	chr1_29236372_29236671_+@PTPRU_ENSMUST00000030741.8:Ptpru	83	147	16	79	65	0.6	45	83	65	16	64	0.82171	-23.66	0.00131	0.00385
73	ENSMUST00000184554.7	chr2_27032854_27033153_+@TMEM214_ENSMUST00000202050.3:Tmem214	316	332	788	804	17	0.88235	43	299	51	771	51	0.40196	-23.6	0.00534	0.0114
74	ENSMUST00000184554.7	chr1_15847784_15848008_+@SPEN_ENSMUST00000152081.1:Spen	47	113	630	696	68	0.67647	62	47	67	630	67	0.81343	-23.528	2.41e-06	4.7e-05
75	ENSMUST00000184554.7	chr1_33256429_33256694_+@ZNF362_ENSMUST00000106072.8:Zfp362	62	125	757	817	64	0.70312	73	62	64	757	61	0.856	-23.5136	8.95e-06	0.000115
76	ENSMUST00000184554.7	chr17_45585038_45585337_-@LRRC37A4P_ENSMUST00000057892.14:Bptf	55	104	893	941	51	0.62745	48	55	50	893	49	0.88889	-23.511	0.000223	0.00107
77	ENSMUST00000184554.7	chr20_325402_325701_+@SOX12_ENSMUST00000063332.8:Sox12	140	205	275	339	66	0.60606	41	140	66	275	65	0.74809	-23.3904	3.59e-06	5.84e-05
78	ENSMUST00000184554.7	chr15_84748477_84748741_+@ZNF592_ENSMUST00000107353.2:Zfp592	68	132	7	72	66	0.65152	62	68	65	7	66	0.8626	-23.2848	2.02e-08	1.8e-06
79	ENSMUST00000184554.7	chr5_168579485_168579759_-@PANK3_ENSMUST00000018990.7:Pank3	13	78	173	240	69	0.71014	66	13	66	173	68	0.85821	-23.184	0.000214	0.00105
80	ENSMUST00000184554.7	chr2_84970665_84970964_+@KCMF1_ENSMUST00000068697.10:Kcmf1	2	49	669	717	49	0.67347	50	1	98	620	147	0.79184	-22.91	2.24e-08	1.8e-06
81	ENSMUST00000184554.7	chr9_93451551_93451730_-@FAM120AOS_ENSMUST00000060805.6:Fam120a	42	90	2	52	51	0.70588	47	42	49	2	51	0.82	-22.8378	4.8e-07	1.47e-05
82	ENSMUST00000184554.7	chr19_46746300_46746599_-@STRN4_ENSMUST00000184280.7:Strn4	71	106	306	340	36	0.75	61	35	108	270	107	0.83721	-22.76	6.9e-07	2.02e-05
83	ENSMUST00000184554.7	chr16_29806225_29806408_+@MVP_ENSMUST00000205461.1:Maz	25	84	296	353	61	0.67213	49	25	60	296	58	0.84746	-22.7164	3.24e-05	0.000273
84	ENSMUST00000184554.7	chr16_29806512_29806678_+@MAZ_ENSMUST00000032916.5:Maz	25	84	416	473	61	0.67213	49	25	60	416	58	0.84746	-22.7164	0.00017	0.000872
85	ENSMUST00000184554.7	chr1_1349276_1349567_-@DVL1_ENSMUST00000133184.7:Dvl1	70	134	103	166	65	0.64615	63	70	65	103	64	0.84496	-22.711	0.000303	0.00131
86	ENSMUST00000184554.7	chr2_17878517_17878816_+@KCNS3_ENSMUST00000055673.1:Kcns3	63	134	861	933	73	0.61644	66	63	72	861	73	0.83448	-22.5862	0.00789	0.0153
87	ENSMUST00000184554.7	chr15_40440803_40441046_+@BAHD1_ENSMUST00000036578.6:Bahd1	104	154	394	444	51	0.68627	54	104	51	394	51	0.87255	-22.5624	1.02e-07	5.34e-06
88	ENSMUST00000184554.7	chr5_159209403_159209672_-@RNF145_ENSMUST00000127907.1:Rnf145	96	109	367	380	14	0.92857	44	82	42	353	42	0.82143	-22.42	4.31e-06	6.52e-05
89	ENSMUST00000184554.7	chr9_127899624_127899792_-@ST6GALNAC6_ENSMUST00000095045.8:St6galnac6	124	166	258	302	45	0.68889	55	79	133	213	135	0.72015	-22.41	0.000948	0.00309
90	ENSMUST00000184554.7	chr9_98807520_98807819_+@GALNT12_ENSMUST00000107744.1:Galnt12	104	128	799	823	25	0.84	70	79	75	774	75	0.74667	-22.4	8.04e-05	0.000493
91	ENSMUST00000184554.7	chr17_35142147_35142446_-@NLE1_ENSMUST00000147915.1:Nle1	109	147	873	910	39	0.71795	61	70	117	834	116	0.74249	-22.32	0.00728	0.0144
92	ENSMUST00000184554.7	chr12_120469523_120469822_-@SRSF9_ENSMUST00000209604.1:Srsf9	36	50	141	155	15	1	58	21	45	126	45	0.85556	-22.31	1.5e-05	0.000159
93	ENSMUST00000184554.7	chr19_13952359_13952658_+@DCAF15_ENSMUST00000041367.8:Dcaf15	96	129	729	762	34	0.79412	62	62	102	695	102	0.82843	-22.29	1.16e-06	3.07e-05
94	ENSMUST00000184554.7	chr16_88706238_88706537_-@RNF166_ENSMUST00000014614.3:Rnf166	60	125	864	932	69	0.63768	73	60	66	864	69	0.83704	-22.287	1.25e-06	3.07e-05
95	ENSMUST00000184554.7	chr3_12841396_12841682_-@RPL32_ENSMUST00000081840.5:Rpl32	90	142	875	927	54	0.66667	50	90	53	875	53	0.84906	-22.2372	0.002	0.00519
96	ENSMUST00000184554.7	chr9_100426993_100427176_+@MSANTD3_ENSMUST00000107704.1:Msantd3	74	128	14	67	55	0.69091	62	74	55	14	54	0.87156	-22.099	9.34e-05	0.000556
97	ENSMUST00000184554.7	chr6_3068358_3068657_+@RIPK1_ENSMUST00000163418.1:Ripk1	163	201	229	267	39	0.71795	64	124	117	190	117	0.70085	-22.06	3.04e-05	0.000262
98	ENSMUST00000184554.7	chr20_58891463_58891610_+@GNAS_ENSMUST00000109083.1:Gnas	12	65	207	259	54	0.66667	46	12	54	207	53	0.84112	-21.978	0.000787	0.00268
99	ENSMUST00000184554.7	chr20_58891387_58891462_+@GNAS_ENSMUST00000109084.7:Gnas	12	65	397	449	54	0.66667	46	12	54	397	53	0.84112	-21.978	3.26e-06	5.44e-05
100	ENSMUST00000184554.7	chr16_69385948_69386137_-@TERF2_ENSMUST00000068388.14:Terf2	104	133	577	605	30	0.8	56	74	90	547	89	0.74302	-21.79	5.05e-08	2.96e-06
101	ENSMUST00000184554.7	chr16_69385713_69385884_-@TERF2_ENSMUST00000142616.7:Terf2	104	133	901	929	30	0.8	56	74	90	871	89	0.74302	-21.79	0.00216	0.00554
102	ENSMUST00000184554.7	chr2_84971255_84971497_+@KCMF1_ENSMUST00000206378.1:Kcmf1	2	49	945	993	49	0.67347	50	1	98	896	105	0.78325	-21.78	1.08e-07	5.34e-06
103	ENSMUST00000184554.7	chr9_13279626_13279829_-@MPDZ_ENSMUST00000107262.7:Mpdz	79	139	481	541	61	0.63934	51	79	61	481	61	0.85246	-21.5696	1.17e-05	0.000135
104	ENSMUST00000184554.7	chr5_134845846_134846040_+@C5orf24_ENSMUST00000057844.9:B230219D22Rik	101	157	304	361	59	0.67797	58	101	57	304	58	0.84348	-21.4406	0.000284	0.00127
105	ENSMUST00000184554.7	chr16_4614738_4614965_-@UBALD1_ENSMUST00000143873.1:Ubald1	79	145	786	851	67	0.59701	48	79	67	786	66	0.77444	-21.4132	0.00278	0.00676
106	ENSMUST00000184554.7	chr1_67054031_67054129_-@SLC35D1_ENSMUST00000036195.12:Slc35d1	95	130	819	855	37	0.78378	61	58	110	782	111	0.78281	-21.41	4.43e-05	0.000341
107	ENSMUST00000184554.7	chr10_117375290_117375589_-@PDZD8_ENSMUST00000099274.3:Pdzd8	129	147	874	891	19	0.89474	40	110	57	855	56	0.77876	-21.37	4.08e-05	0.000319
108	ENSMUST00000184554.7	chr19_4065352_4065651_-@ZBTB7A_ENSMUST00000117956.1:Zbtb7a	132	144	63	75	13	1	50	119	39	50	39	0.80769	-21.37	0.000512	0.00192
109	ENSMUST00000184554.7	chr5_172454346_172454645_-@SH3PXD2B_ENSMUST00000138771.1:Sh3pxd2b	181	207	214	240	27	0.7037	45	154	81	187	81	0.67284	-21.34	9.65e-06	0.000118
110	ENSMUST00000184554.7	chr1_116373053_116373223_+@ATP1A1_ENSMUST00000036493.7:Atp1a1	27	43	588	604	17	0.88235	53	10	51	571	51	0.82353	-21.34	0.000107	0.000629
111	ENSMUST00000184554.7	chr20_63626925_63627224_-@GMEB2_ENSMUST00000141003.1:Gmeb2	173	192	568	586	20	0.85	39	153	60	548	59	0.69748	-21.31	7.92e-07	2.21e-05
112	ENSMUST00000184554.7	chr4_16226321_16226620_-@TAPT1_ENSMUST00000199374.4:Tapt1	125	148	742	765	24	0.79167	56	101	72	718	72	0.8125	-21.25	2.74e-08	2.08e-06
113	ENSMUST00000184554.7	chr6_35452549_35452848_+@FANCE_ENSMUST00000233381.1:Fance	98	130	92	123	33	0.75758	52	65	99	59	98	0.76142	-21.24	0.000324	0.00138
114	ENSMUST00000184554.7	chr14_55271271_55271570_+@FBXO34_ENSMUST00000226954.1:Fbxo34	32	81	217	267	52	0.71154	63	32	50	217	51	0.84158	-21.2056	6e-05	0.000413
115	ENSMUST00000184554.7	chr1_212285260_212285468_+@PPP2R5A_ENSMUST00000067976.8:Ppp2r5a	96	106	471	481	11	1	44	85	33	460	33	0.89394	-21.1	2.02e-05	0.000195
116	ENSMUST00000184554.7	chr19_34172273_34172474_+@LSM14A_ENSMUST00000085585.11:Lsm14a	122	145	841	863	24	0.875	54	98	72	817	71	0.81119	-21.04	1.41e-08	1.39e-06
117	ENSMUST00000184554.7	chr17_7884646_7884945_+@CHD3_ENSMUST00000092971.12:Chd3	64	146	496	573	83	0.6506	72	64	83	496	78	0.85714	-21.0156	0.000613	0.0022
118	ENSMUST00000184554.7	chr1_150974824_150974919_-@CERS2_ENSMUST00000133748.1:Cers2	28	37	307	316	10	1	38	18	30	297	30	0.83333	-21.01	1.68e-05	0.000168
119	ENSMUST00000184554.7	chr1_26826610_26826827_+@ZDHHC18_ENSMUST00000084238.4:Zdhhc18	43	91	767	817	51	0.66667	62	43	49	767	51	0.85	-20.9508	5.49e-05	0.000386
120	ENSMUST00000184554.7	chr12_71754723_71755022_+@RAB21_ENSMUST00000020343.8:Rab21	67	102	789	823	36	0.80556	65	31	108	753	107	0.85116	-20.85	5.81e-06	8.4e-05
121	ENSMUST00000184554.7	chr19_34172273_34172474_+@LSM14A_ENSMUST00000085585.11:Lsm14a	124	143	943	962	20	0.85	53	104	60	923	60	0.825	-20.85	1.41e-08	1.39e-06
122	ENSMUST00000184554.7	chr19_33373582_33373881_+@CEBPG_ENSMUST00000130491.2:Cebpg	108	142	632	666	35	0.8	80	73	105	597	105	0.79048	-20.82	4.49e-05	0.000343
123	ENSMUST00000184554.7	chr18_9475366_9475665_+@RALBP1_ENSMUST00000024905.10:Ralbp1	73	113	732	772	41	0.63415	49	32	123	691	123	0.80894	-20.8	3.91e-06	6.13e-05
124	ENSMUST00000184554.7	chr20_58692650_58692837_+@NPEPL1_ENSMUST00000044415.15:Npepl1	1	66	230	293	66	0.68182	59	1	66	230	64	0.84615	-20.724	1.26e-06	3.07e-05
125	ENSMUST00000184554.7	chr19_4400375_4400674_-@SH3GL1_ENSMUST00000233034.1:Sh3gl1	178	189	896	907	12	0.91667	41	166	36	884	36	0.75	-20.68	5.18e-05	0.000375
126	ENSMUST00000184554.7	chr16_75251474_75251751_-@BCAR1_ENSMUST00000212147.1:Bcar1	322	334	285	297	13	1	42	309	39	272	39	0.46154	-20.67	0.00135	0.00396
127	ENSMUST00000184554.7	chr4_101347350_101347540_-@PPP3CA_ENSMUST00000056758.8:Ppp3ca	27	41	655	669	15	0.8	42	12	45	640	45	0.8	-20.65	0.00099	0.00318
128	ENSMUST00000184554.7	chr17_75405524_75405823_-@GRB2_ENSMUST00000106495.7:Grb2	6	49	845	888	45	0.73333	37	1	94	800	134	0.80702	-20.62	2.17e-08	1.8e-06
129	ENSMUST00000184554.7	chr6_17600328_17600501_+@FAM8A1_ENSMUST00000099547.3:Fam8a1	145	199	635	688	55	0.65455	43	145	55	635	54	0.77064	-20.559	4.38e-08	2.82e-06
130	ENSMUST00000184554.7	chr2_183038460_183038650_-@NCKAP1_ENSMUST00000028386.11:Nckap1	124	145	865	884	22	0.81818	48	102	66	843	64	0.82308	-20.55	2.48e-09	5.68e-07
131	ENSMUST00000184554.7	chr10_79445521_79445727_-@ZCCHC24_ENSMUST00000069180.7:Zcchc24	68	112	939	986	48	0.77083	56	20	141	891	110	0.84064	-20.54	0.000226	0.00108
132	ENSMUST00000184554.7	chr8_58659768_58659963_-@NSMAF_ENSMUST00000124344.1:Nsmaf	124	145	859	880	22	0.86364	63	102	66	837	66	0.79545	-20.48	2.23e-05	0.000208
133	ENSMUST00000184554.7	chr19_41264401_41264571_+@HNRNPUL1_ENSMUST00000108401.2:Hnrnpul1	2	47	603	648	46	0.63043	41	1	93	557	138	0.78788	-20.47	1.33e-07	6.31e-06
134	ENSMUST00000184554.7	chr19_13952359_13952658_+@DCAF15_ENSMUST00000041367.8:Dcaf15	122	143	887	909	23	0.86957	50	99	68	864	69	0.80292	-20.46	1.16e-06	3.07e-05
135	ENSMUST00000184554.7	chr6_53794855_53795154_+@LRRC1_ENSMUST00000183980.1:Lrrc1	26	72	868	912	47	0.74468	47	1	119	821	139	0.80233	-20.41	0.00599	0.0123
136	ENSMUST00000184554.7	chr20_50190700_50190964_+@CEBPB_ENSMUST00000070642.3:Cebpb	96	140	458	500	45	0.8	71	51	135	413	133	0.79851	-20.39	3.89e-07	1.29e-05
