name1	name2	siteStart1	siteEnd1	siteStart2	siteEnd2	siteLen	siteCmpl	siteScore	regStart1	regLen1	regStart2	regLen2	regGC	deltaG	Pvalue	Padj	key
12	ENSMUST00000184554.7	chr13_113584526_113584714_+@TFDP1_ENSMUST00000210501.1:Tfdp1	20	112	230	319	94	0.61702	57	20	93	230	90	0.8306	-36.378	1.19e-07	7.73e-06	chr13_113584526_113584714_+@TFDP1_ENSMUST00000210501.1:Tfdp1 20
13	ENSMUST00000184554.7	chr13_40789301_40789521_+@SLC25A15_ENSMUST00000033871.7:Slc25a15	56	145	822	914	93	0.64516	65	56	90	822	93	0.85792	-36.1212	9.09e-06	0.000119	chr13_40789301_40789521_+@SLC25A15_ENSMUST00000033871.7:Slc25a15 56
14	ENSMUST00000184554.7	chr12_48957496_48957663_-@ARF3_ENSMUST00000053183.11:Arf3	124	192	786	854	69	0.66667	66	124	69	786	69	0.81159	-35.397	8.61e-07	2.68e-05	chr12_48957496_48957663_-@ARF3_ENSMUST00000053183.11:Arf3 124
15	ENSMUST00000184554.7	chr12_109880520_109880690_-@GLTP_ENSMUST00000012028.13:Gltp	71	141	913	982	71	0.67606	78	71	71	913	70	0.85106	-35.1308	0.00825	0.0159	chr12_109880520_109880690_-@GLTP_ENSMUST00000012028.13:Gltp 71
16	ENSMUST00000184554.7	chr17_44830137_44830436_-@GJC1_ENSMUST00000068933.11:Gjc1	60	113	851	903	54	0.68519	63	60	54	851	53	0.82243	-35.0352	7.47e-10	5.19e-07	chr17_44830137_44830436_-@GJC1_ENSMUST00000068933.11:Gjc1 60
17	ENSMUST00000184554.7	chr5_172283957_172284256_-@UBTD2_ENSMUST00000051053.4:Ubtd2	60	140	197	280	86	0.60465	50	60	81	197	84	0.8	-34.8472	0.000758	0.00272	chr5_172283957_172284256_-@UBTD2_ENSMUST00000051053.4:Ubtd2 60
18	ENSMUST00000184554.7	chr6_139134930_139135093_+@HECA_ENSMUST00000037879.7:Heca	77	139	561	625	65	0.69231	70	77	63	561	65	0.88281	-34.736	9.48e-09	1.32e-06	chr6_139134930_139135093_+@HECA_ENSMUST00000037879.7:Heca 77
19	ENSMUST00000184554.7	chr4_17512077_17512148_-@QDPR_ENSMUST00000197946.4:Qdpr	82	130	906	955	52	0.71154	40	82	49	906	50	0.79798	-34.6216	0.000452	0.00187	chr4_17512077_17512148_-@QDPR_ENSMUST00000197946.4:Qdpr 82
20	ENSMUST00000184554.7	chr15_58987516_58987680_+@RNF111_ENSMUST00000034739.11:Rnf111	79	136	653	710	58	0.68966	62	79	58	653	58	0.86207	-34.2548	1.57e-06	3.89e-05	chr15_58987516_58987680_+@RNF111_ENSMUST00000034739.11:Rnf111 79
21	ENSMUST00000184554.7	chr15_58987681_58987844_+@RNF111_ENSMUST00000213694.1:Rnf111	79	136	654	711	58	0.68966	62	79	58	654	58	0.86207	-34.2548	6.37e-06	9.7e-05	chr15_58987681_58987844_+@RNF111_ENSMUST00000213694.1:Rnf111 79
22	ENSMUST00000184554.7	chr19_42242431_42242730_-@GSK3A_ENSMUST00000071739.11:Gsk3a	60	136	531	610	80	0.6625	60	60	77	531	80	0.80892	-34.192	3.07e-07	1.33e-05	chr19_42242431_42242730_-@GSK3A_ENSMUST00000071739.11:Gsk3a 60
23	ENSMUST00000184554.7	chr8_70608310_70608383_-@TRAM1_ENSMUST00000188377.1:Tram1	71	122	913	964	53	0.75472	66	71	52	913	52	0.85577	-33.9412	0.000279	0.00134	chr8_70608310_70608383_-@TRAM1_ENSMUST00000188377.1:Tram1 71
24	ENSMUST00000184554.7	chr15_41972404_41972703_-@EHD4_ENSMUST00000148073.1:Ehd4	77	129	944	996	54	0.66667	45	77	53	944	53	0.83962	-33.6312	0.000793	0.00281	chr15_41972404_41972703_-@EHD4_ENSMUST00000148073.1:Ehd4 77
25	ENSMUST00000184554.7	chr21_37073078_37073251_+@TTC3_ENSMUST00000150097.7:Ttc3	68	143	512	587	77	0.57143	50	68	76	512	76	0.80921	-33.4796	4.61e-05	0.000378	chr21_37073078_37073251_+@TTC3_ENSMUST00000150097.7:Ttc3 68
26	ENSMUST00000184554.7	chr21_37073252_37073423_+@TTC3_ENSMUST00000145883.1:Ttc3	68	143	469	544	77	0.57143	50	68	76	469	76	0.80921	-33.4796	3.45e-05	0.000317	chr21_37073252_37073423_+@TTC3_ENSMUST00000145883.1:Ttc3 68
27	ENSMUST00000184554.7	chr17_44830137_44830436_-@GJC1_ENSMUST00000068933.11:Gjc1	88	143	920	972	56	0.71429	74	88	56	920	53	0.81651	-32.8832	7.47e-10	5.19e-07	chr17_44830137_44830436_-@GJC1_ENSMUST00000068933.11:Gjc1 88
28	ENSMUST00000184554.7	chr19_40690500_40690799_-@NUMBL_ENSMUST00000149805.7:Numbl	70	143	6	76	74	0.68919	41	70	74	6	71	0.83448	-32.5008	0.00702	0.0141	chr19_40690500_40690799_-@NUMBL_ENSMUST00000149805.7:Numbl 70
29	ENSMUST00000184554.7	chr9_83707820_83708093_-@UBQLN1_ENSMUST00000076454.7:Ubqln1	118	186	755	821	70	0.65714	54	118	69	755	67	0.80147	-32.326	6.43e-07	2.27e-05	chr9_83707820_83708093_-@UBQLN1_ENSMUST00000076454.7:Ubqln1 118
30	ENSMUST00000184554.7	chr15_20756002_20756166_-@RP11-403B2.7_ENSMUST00000109943.9:Mtmr3	68	128	874	935	63	0.68254	80	68	61	874	62	0.86179	-31.752	2.87e-07	1.3e-05	chr15_20756002_20756166_-@RP11-403B2.7_ENSMUST00000109943.9:Mtmr3 68
31	ENSMUST00000184554.7	chr1_23019318_23019617_+@KDM1A_ENSMUST00000105847.7:Kdm1a	68	129	807	868	63	0.68254	66	68	62	807	62	0.87097	-31.311	3.93e-08	3.7e-06	chr1_23019318_23019617_+@KDM1A_ENSMUST00000105847.7:Kdm1a 68
32	ENSMUST00000184554.7	chr12_8697807_8697948_+@RIMKLB_ENSMUST00000068242.8:Rimklb	77	144	417	484	68	0.64706	74	77	68	417	68	0.89706	-31.2392	1.13e-10	1.88e-07	chr12_8697807_8697948_+@RIMKLB_ENSMUST00000068242.8:Rimklb 77
33	ENSMUST00000184554.7	chr4_73258820_73258990_-@ANKRD17_ENSMUST00000081914.12:Ankrd17	161	191	455	485	31	0.67742	56	130	93	424	93	0.65591	-31.17	3.23e-06	6.12e-05	chr4_73258820_73258990_-@ANKRD17_ENSMUST00000081914.12:Ankrd17 161
34	ENSMUST00000184554.7	chr15_58933640_58933828_-@SLTM_ENSMUST00000215714.1:Sltm	58	143	65	150	88	0.625	55	58	86	65	86	0.79651	-31.152	4.66e-06	7.9e-05	chr15_58933640_58933828_-@SLTM_ENSMUST00000215714.1:Sltm 58
35	ENSMUST00000184554.7	chr20_41136816_41137115_+@PLCG1_ENSMUST00000103115.7:Plcg1	56	112	428	482	58	0.7069	62	56	57	428	55	0.86607	-30.9372	1.77e-05	0.000196	chr20_41136816_41137115_+@PLCG1_ENSMUST00000103115.7:Plcg1 56
36	ENSMUST00000184554.7	chr19_48469182_48469350_+@CYTH2_ENSMUST00000210853.2:Cyth2	72	126	607	660	55	0.67273	54	72	55	607	54	0.88073	-30.668	2.05e-06	4.49e-05	chr19_48469182_48469350_+@CYTH2_ENSMUST00000210853.2:Cyth2 72
37	ENSMUST00000184554.7	chr5_95731112_95731246_+@RHOBTB3_ENSMUST00000022078.11:Rhobtb3	79	141	839	899	63	0.61905	51	79	63	839	61	0.84677	-30.3534	2.35e-05	0.000238	chr5_95731112_95731246_+@RHOBTB3_ENSMUST00000022078.11:Rhobtb3 79
38	ENSMUST00000184554.7	chr1_99969876_99970162_+@SLC35A3_ENSMUST00000196335.1:Slc35a3	56	143	826	913	90	0.66667	58	56	88	826	88	0.83523	-30.24	7.55e-06	0.000108	chr1_99969876_99970162_+@SLC35A3_ENSMUST00000196335.1:Slc35a3 56
39	ENSMUST00000184554.7	chr1_6785304_6785603_+@CAMTA1_ENSMUST00000155685.7:Camta1	71	141	684	753	71	0.66197	77	71	71	684	70	0.86525	-29.9478	1.18e-08	1.45e-06	chr1_6785304_6785603_+@CAMTA1_ENSMUST00000155685.7:Camta1 71
40	ENSMUST00000184554.7	chr1_9823791_9823950_-@CLSTN1_ENSMUST00000039144.6:Clstn1	60	157	6	104	101	0.62376	70	60	98	6	99	0.83756	-29.9364	0.00336	0.008	chr1_9823791_9823950_-@CLSTN1_ENSMUST00000039144.6:Clstn1 60
41	ENSMUST00000184554.7	chr12_8697807_8697948_+@RIMKLB_ENSMUST00000068242.8:Rimklb	82	150	497	565	70	0.7	68	82	69	497	69	0.86957	-29.848	1.13e-10	1.88e-07	chr12_8697807_8697948_+@RIMKLB_ENSMUST00000068242.8:Rimklb 82
42	ENSMUST00000184554.7	chr3_100709477_100709586_+@TFG_ENSMUST00000121554.7:Tfg	73	143	673	743	71	0.56338	47	73	71	673	71	0.83803	-29.5502	3.29e-07	1.4e-05	chr3_100709477_100709586_+@TFG_ENSMUST00000121554.7:Tfg 73
43	ENSMUST00000184554.7	chr10_134894_135136_+@ZMYND11_ENSMUST00000223421.1:Zmynd11	88	142	505	560	56	0.69643	73	88	55	505	56	0.88288	-29.512	2.26e-09	6.73e-07	chr10_134894_135136_+@ZMYND11_ENSMUST00000223421.1:Zmynd11 88
44	ENSMUST00000184554.7	chr17_48908257_48908445_+@UBE2Z_ENSMUST00000100528.4:Ube2z	71	131	680	742	63	0.69841	76	71	61	680	63	0.87097	-29.3958	1.78e-06	4.25e-05	chr17_48908257_48908445_+@UBE2Z_ENSMUST00000100528.4:Ube2z 71
45	ENSMUST00000184554.7	chr12_68610749_68611048_+@RAP1B_ENSMUST00000064667.8:Rap1b	68	129	860	923	64	0.65625	71	68	62	860	64	0.85714	-29.3632	2.62e-06	5.18e-05	chr12_68610749_68611048_+@RAP1B_ENSMUST00000064667.8:Rap1b 68
46	ENSMUST00000184554.7	chr9_99221792_99222091_-@ALG2_ENSMUST00000044148.2:Alg2	87	141	698	754	57	0.63158	58	87	55	698	57	0.82143	-29.2524	0.000188	0.000994	chr9_99221792_99222091_-@ALG2_ENSMUST00000044148.2:Alg2 87
47	ENSMUST00000184554.7	chr6_34392622_34392810_-@NUDT3_ENSMUST00000025050.12:Nudt3	79	130	859	911	53	0.71698	58	79	52	859	53	0.86667	-29.2136	2.59e-07	1.22e-05	chr6_34392622_34392810_-@NUDT3_ENSMUST00000025050.12:Nudt3 79
48	ENSMUST00000184554.7	chr19_15332326_15332507_-@BRD4_ENSMUST00000125899.1:Brd4	77	148	852	922	72	0.69444	80	77	72	852	71	0.86713	-29.0592	3.85e-05	0.000345	chr19_15332326_15332507_-@BRD4_ENSMUST00000125899.1:Brd4 77
49	ENSMUST00000184554.7	chr11_64234561_64234733_+@VEGFB_ENSMUST00000130048.7:Vegfb	67	117	912	964	54	0.7037	42	67	51	912	53	0.82692	-29.052	0.000302	0.0014	chr11_64234561_64234733_+@VEGFB_ENSMUST00000130048.7:Vegfb 67
50	ENSMUST00000184554.7	chr17_44219077_44219275_-@UBTF_ENSMUST00000107119.8:Ubtf	78	143	895	963	70	0.72857	65	78	66	895	69	0.85185	-29.05	7.98e-05	0.000538	chr17_44219077_44219275_-@UBTF_ENSMUST00000107119.8:Ubtf 78
51	ENSMUST00000184554.7	chr17_44219348_44219585_-@UBTF_ENSMUST00000107123.9:Ubtf	78	143	547	615	70	0.72857	65	78	66	547	69	0.85185	-29.05	8.95e-07	2.7e-05	chr17_44219348_44219585_-@UBTF_ENSMUST00000107123.9:Ubtf 78
52	ENSMUST00000184554.7	chr14_22871590_22871778_+@LRP10_ENSMUST00000022782.9:Lrp10	77	143	484	551	69	0.63768	47	77	67	484	68	0.82963	-28.4694	1.01e-05	0.000128	chr14_22871590_22871778_+@LRP10_ENSMUST00000022782.9:Lrp10 77
53	ENSMUST00000184554.7	chr19_663034_663245_-@RNF126_ENSMUST00000219189.1:Rnf126	81	134	936	989	54	0.66667	71	81	54	936	54	0.86111	-28.3716	2.19e-06	4.66e-05	chr19_663034_663245_-@RNF126_ENSMUST00000219189.1:Rnf126 81
54	ENSMUST00000184554.7	chr3_123066875_123067050_+@PDIA5_ENSMUST00000023550.8:Pdia5	2	48	881	929	49	0.69388	39	1	97	832	147	0.77459	-28.31	0.000294	0.00138	chr3_123066875_123067050_+@PDIA5_ENSMUST00000023550.8:Pdia5 2
55	ENSMUST00000184554.7	chr8_123274607_123274793_-@ZHX1_ENSMUST00000110168.7:Zhx1	71	136	641	704	66	0.65152	51	71	66	641	64	0.82308	-28.0896	0.000234	0.00119	chr8_123274607_123274793_-@ZHX1_ENSMUST00000110168.7:Zhx1 71
56	ENSMUST00000184554.7	chr6_43053867_43054030_-@CUL7_ENSMUST00000043464.13:Cul7	80	130	289	337	51	0.66667	60	80	51	289	49	0.8	-27.9684	4.85e-05	0.000386	chr6_43053867_43054030_-@CUL7_ENSMUST00000043464.13:Cul7 80
57	ENSMUST00000184554.7	chr20_62143374_62143543_-@PSMA7_ENSMUST00000029082.8:Psma7	80	136	531	588	58	0.7069	63	80	57	531	58	0.85217	-27.9212	0.00034	0.00153	chr20_62143374_62143543_-@PSMA7_ENSMUST00000029082.8:Psma7 80
58	ENSMUST00000184554.7	chr18_79679703_79679994_+@CTDP1_ENSMUST00000036229.12:Ctdp1	74	124	621	671	52	0.69231	46	74	51	621	51	0.85294	-27.8928	1.34e-06	3.41e-05	chr18_79679703_79679994_+@CTDP1_ENSMUST00000036229.12:Ctdp1 74
59	ENSMUST00000184554.7	chr18_657665_657858_+@TYMS_ENSMUST00000138520.1:Tyms	79	132	405	456	54	0.59259	48	79	54	405	52	0.79245	-27.702	0.00517	0.0111	chr18_657665_657858_+@TYMS_ENSMUST00000138520.1:Tyms 79
60	ENSMUST00000184554.7	chr9_98796389_98796688_-@ANKS6_ENSMUST00000107747.7:Anks6	4	72	794	861	70	0.68571	49	4	69	794	68	0.84672	-27.678	1.48e-08	1.62e-06	chr9_98796389_98796688_-@ANKS6_ENSMUST00000107747.7:Anks6 4
61	ENSMUST00000184554.7	chr2_85616036_85616335_+@USP39_ENSMUST00000070345.4:Usp39	94	145	696	744	52	0.69231	48	94	52	696	49	0.82178	-27.6328	2.68e-05	0.000261	chr2_85616036_85616335_+@USP39_ENSMUST00000070345.4:Usp39 94
62	ENSMUST00000184554.7	chr14_57268740_57269039_-@EXOC5_ENSMUST00000161504.7:Exoc5	76	130	774	830	57	0.63158	54	76	55	774	57	0.80357	-27.303	4.16e-08	3.7e-06	chr14_57268740_57269039_-@EXOC5_ENSMUST00000161504.7:Exoc5 76
63	ENSMUST00000184554.7	chr4_26860627_26860774_+@STIM2_ENSMUST00000117661.8:Stim2	79	143	328	392	66	0.62121	47	79	65	328	65	0.83846	-26.9676	6.34e-05	0.000464	chr4_26860627_26860774_+@STIM2_ENSMUST00000117661.8:Stim2 79
64	ENSMUST00000184554.7	chr16_28211916_28212113_-@XPO6_ENSMUST00000009344.15:Xpo6	76	130	940	995	56	0.60714	47	76	55	940	56	0.8018	-26.88	0.00029	0.00137	chr16_28211916_28212113_-@XPO6_ENSMUST00000009344.15:Xpo6 76
65	ENSMUST00000184554.7	chr16_589961_590181_+@RAB40C_ENSMUST00000179998.7:Rab40c	77	129	848	902	55	0.69091	50	77	53	848	55	0.85185	-26.84	0.000133	0.000781	chr16_589961_590181_+@RAB40C_ENSMUST00000179998.7:Rab40c 77
66	ENSMUST00000184554.7	chr15_78077608_78077836_-@TBC1D2B_ENSMUST00000041767.13:Tbc1d2b	77	143	935	999	67	0.67164	64	77	67	935	65	0.88636	-26.6928	0.000254	0.00124	chr15_78077608_78077836_-@TBC1D2B_ENSMUST00000041767.13:Tbc1d2b 77
67	ENSMUST00000184554.7	chr4_102827537_102827657_-@UBE2D3_ENSMUST00000198748.4:Ube2d3	58	145	717	810	94	0.61702	47	58	88	717	94	0.8022	-26.6772	0.0026	0.00661	chr4_102827537_102827657_-@UBE2D3_ENSMUST00000198748.4:Ube2d3 58
68	ENSMUST00000184554.7	chr4_102827372_102827536_-@UBE2D3_ENSMUST00000196248.1:Ube2d3	58	145	607	700	94	0.61702	47	58	88	607	94	0.8022	-26.6772	0.00332	0.00794	chr4_102827372_102827536_-@UBE2D3_ENSMUST00000196248.1:Ube2d3 58
69	ENSMUST00000184554.7	chr18_9913879_9914139_+@VAPA_ENSMUST00000024897.9:Vapa	68	122	285	337	55	0.69091	48	68	55	285	53	0.85185	-26.499	9.27e-07	2.76e-05	chr18_9913879_9914139_+@VAPA_ENSMUST00000024897.9:Vapa 68
70	ENSMUST00000184554.7	chr5_17217454_17217617_+@BASP1_ENSMUST00000058845.8:Basp1	68	122	935	990	56	0.64286	64	68	55	935	56	0.81982	-26.376	4.04e-05	0.000354	chr5_17217454_17217617_+@BASP1_ENSMUST00000058845.8:Basp1 68
71	ENSMUST00000184554.7	chr12_121803879_121804178_+@SETD1B_ENSMUST00000100731.8:Setd1b	42	114	68	142	75	0.68	52	42	73	68	75	0.81757	-26.325	4.01e-05	0.000353	chr12_121803879_121804178_+@SETD1B_ENSMUST00000100731.8:Setd1b 42
72	ENSMUST00000184554.7	chr2_42568370_42568581_+@MTA3_ENSMUST00000112350.7:Mta3	31	104	8	83	77	0.67532	67	31	74	8	76	0.87333	-26.3186	0.000362	0.0016	chr2_42568370_42568581_+@MTA3_ENSMUST00000112350.7:Mta3 31
73	ENSMUST00000184554.7	chr17_51260425_51260724_+@UTP18_ENSMUST00000066888.9:Utp18	60	126	684	750	68	0.60294	56	60	67	684	67	0.8209	-26.3024	7.63e-09	1.14e-06	chr17_51260425_51260724_+@UTP18_ENSMUST00000066888.9:Utp18 60
74	ENSMUST00000184554.7	chr10_95656509_95656746_-@ALDH18A1_ENSMUST00000176939.7:Aldh18a1	81	133	911	965	55	0.65455	40	81	53	911	55	0.80556	-26.224	0.00112	0.00357	chr10_95656509_95656746_-@ALDH18A1_ENSMUST00000176939.7:Aldh18a1 81
75	ENSMUST00000184554.7	chr7_66205167_66205325_+@TPST1_ENSMUST00000040721.8:Tpst1	98	150	369	416	53	0.69811	43	98	53	369	48	0.84158	-26.1608	0.000253	0.00124	chr7_66205167_66205325_+@TPST1_ENSMUST00000040721.8:Tpst1 98
76	ENSMUST00000184554.7	chr22_45240741_45241040_-@KIAA0930_ENSMUST00000165743.1:5031439G07Rik	71	143	897	969	74	0.60811	69	71	73	897	73	0.80137	-26.0332	0.000622	0.00235	chr22_45240741_45241040_-@KIAA0930_ENSMUST00000165743.1:5031439G07Rik 71
77	ENSMUST00000184554.7	chr4_78776200_78776499_+@BMP2K_ENSMUST00000112974.5:Bmp2k	42	93	272	322	53	0.67925	65	42	52	272	51	0.87379	-25.9488	0.000149	0.000836	chr4_78776200_78776499_+@BMP2K_ENSMUST00000112974.5:Bmp2k 42
78	ENSMUST00000184554.7	chr5_128083616_128083915_+@SLC12A2_ENSMUST00000115366.2:Slc12a2	56	104	406	455	51	0.66667	68	56	49	406	50	0.88889	-25.9284	0.000629	0.00236	chr5_128083616_128083915_+@SLC12A2_ENSMUST00000115366.2:Slc12a2 56
79	ENSMUST00000184554.7	chr12_12266869_12267168_-@LRP6_ENSMUST00000032322.14:Lrp6	90	139	533	583	52	0.65385	56	90	50	533	51	0.85149	-25.8336	2.12e-07	1.1e-05	chr12_12266869_12267168_-@LRP6_ENSMUST00000032322.14:Lrp6 90
80	ENSMUST00000184554.7	chrX_21940446_21940664_+@SMS_ENSMUST00000145477.7:Sms	62	102	771	811	41	0.73171	75	21	123	730	123	0.84553	-25.72	0.000126	0.000753	chrX_21940446_21940664_+@SMS_ENSMUST00000145477.7:Sms 62
81	ENSMUST00000184554.7	chr6_149317789_149318013_+@TAB2_ENSMUST00000147938.1:Tab2	104	146	940	982	43	0.67442	61	61	129	897	104	0.7897	-25.67	0.00161	0.00464	chr6_149317789_149318013_+@TAB2_ENSMUST00000147938.1:Tab2 104
82	ENSMUST00000184554.7	chr11_57667681_57667974_+@ZDHHC5_ENSMUST00000035840.5:Zdhhc5	68	130	798	859	63	0.65079	77	68	63	798	62	0.824	-25.5024	9.9e-05	0.000635	chr11_57667681_57667974_+@ZDHHC5_ENSMUST00000035840.5:Zdhhc5 68
83	ENSMUST00000184554.7	chr6_163414463_163414628_+@QKI_ENSMUST00000233645.1:Qk	79	156	639	715	78	0.60256	58	79	78	639	77	0.87097	-25.428	1.45e-09	5.27e-07	chr6_163414463_163414628_+@QKI_ENSMUST00000233645.1:Qk 79
84	ENSMUST00000184554.7	chr6_163414629_163414718_+@QKI_ENSMUST00000233828.1:Qk	79	156	658	734	78	0.60256	58	79	78	658	77	0.87097	-25.428	1.12e-09	5.27e-07	chr6_163414629_163414718_+@QKI_ENSMUST00000233828.1:Qk 79
85	ENSMUST00000184554.7	chr11_65919389_65919462_+@DRAP1_ENSMUST00000148219.8:Drap1	68	110	962	1000	43	0.74419	55	25	129	919	82	0.78199	-25.36	0.00268	0.00676	chr11_65919389_65919462_+@DRAP1_ENSMUST00000148219.8:Drap1 68
86	ENSMUST00000184554.7	chr6_35688929_35689090_-@FKBP5_ENSMUST00000233870.1:Fkbp5	88	145	868	923	58	0.62069	56	88	58	868	56	0.86842	-25.346	0.000117	0.00072	chr6_35688929_35689090_-@FKBP5_ENSMUST00000233870.1:Fkbp5 88
87	ENSMUST00000184554.7	chr17_19867786_19868023_-@ULK2_ENSMUST00000004920.3:Ulk2	68	128	895	955	63	0.69841	55	68	61	895	61	0.83607	-25.2504	0.000849	0.00295	chr17_19867786_19868023_-@ULK2_ENSMUST00000004920.3:Ulk2 68
88	ENSMUST00000184554.7	chr10_79445521_79445727_-@ZCCHC24_ENSMUST00000069180.7:Zcchc24	117	151	955	989	35	0.71429	52	82	105	920	81	0.82258	-25.17	0.000226	0.00115	chr10_79445521_79445727_-@ZCCHC24_ENSMUST00000069180.7:Zcchc24 117
89	ENSMUST00000184554.7	chr1_205631904_205632121_-@ELK4_ENSMUST00000086556.11:Elk4	95	150	193	250	59	0.69492	58	95	56	193	58	0.85965	-25.1458	0.000955	0.0032	chr1_205631904_205632121_-@ELK4_ENSMUST00000086556.11:Elk4 95
90	ENSMUST00000184554.7	chr9_136410599_136410761_-@SNAPC4_ENSMUST00000076431.12:Pmpca	58	111	852	903	54	0.64815	54	58	54	852	52	0.83019	-25.0776	1.81e-06	4.25e-05	chr9_136410599_136410761_-@SNAPC4_ENSMUST00000076431.12:Pmpca 58
91	ENSMUST00000184554.7	chr16_28211916_28212113_-@XPO6_ENSMUST00000009344.15:Xpo6	160	193	918	951	34	0.67647	53	126	102	884	102	0.72059	-25.03	0.00029	0.00137	chr16_28211916_28212113_-@XPO6_ENSMUST00000009344.15:Xpo6 160
92	ENSMUST00000184554.7	chr19_10960754_10960967_+@SMARCA4_ENSMUST00000034707.14:Smarca4	95	142	413	465	53	0.66038	65	95	48	413	53	0.84158	-24.9524	0.00487	0.0106	chr19_10960754_10960967_+@SMARCA4_ENSMUST00000034707.14:Smarca4 95
93	ENSMUST00000184554.7	chr2_27409407_27409706_-@PPM1G_ENSMUST00000200778.4:Ppm1g	119	145	847	874	28	0.85714	72	91	83	819	84	0.78443	-24.88	0.00159	0.00463	chr2_27409407_27409706_-@PPM1G_ENSMUST00000200778.4:Ppm1g 119
94	ENSMUST00000184554.7	chr5_115626097_115626147_-@TMED7_ENSMUST00000151189.1:Tmed7	57	120	721	781	64	0.73438	84	57	64	721	61	0.832	-24.8704	0.000251	0.00123	chr5_115626097_115626147_-@TMED7_ENSMUST00000151189.1:Tmed7 57
95	ENSMUST00000184554.7	chr19_33796159_33796380_+@KCTD15_ENSMUST00000108069.7:Kctd15	42	93	872	922	52	0.71154	75	42	52	872	51	0.85437	-24.856	0.000297	0.00138	chr19_33796159_33796380_+@KCTD15_ENSMUST00000108069.7:Kctd15 42
96	ENSMUST00000184554.7	chr19_33796725_33797024_+@KCTD15_ENSMUST00000206501.1:Kctd15	42	93	881	931	52	0.71154	75	42	52	881	51	0.85437	-24.856	0.000283	0.00136	chr19_33796725_33797024_+@KCTD15_ENSMUST00000206501.1:Kctd15 42
97	ENSMUST00000184554.7	chr10_86756469_86756768_+@BMPR1A_ENSMUST00000171551.1:Bmpr1a	77	133	751	806	57	0.68421	70	77	57	751	56	0.84956	-24.8406	1.44e-07	8.54e-06	chr10_86756469_86756768_+@BMPR1A_ENSMUST00000171551.1:Bmpr1a 77
